Date,Open,High,Low,Close,Adj Close,Volume
01-04-2024,416.679993,417.950012,412,413.51001,413.51001,1863900
02-04-2024,410.73999,413.170013,407.619995,410.149994,410.149994,1976000
03-04-2024,411,416.630005,411,414,414,1549200
04-04-2024,418,419,405.700012,406.25,406.25,1704700
05-04-2024,406.559998,409.140015,401.470001,408.070007,408.070007,1694500
08-04-2024,409.100006,412.529999,407.549988,410.540009,410.540009,1181900
09-04-2024,411.51001,413.220001,407.049988,410.709991,410.709991,1247800
10-04-2024,404.01001,405.450012,397.290009,400.76001,400.76001,1903300
11-04-2024,400.480011,401.470001,394.839996,397.480011,397.480011,2176200
12-04-2024,392.839996,394.089996,387.119995,389.48999,389.48999,2814900
15-04-2024,407,412.869995,398.690002,400.880005,400.880005,6177000
16-04-2024,404.450012,404.970001,395.179993,396.859985,396.859985,3459700
17-04-2024,402.399994,407.119995,401.179993,403.910004,403.910004,4373800
18-04-2024,405.48999,407.859985,402.410004,403.109985,403.109985,2776300
19-04-2024,404.059998,408,403.01001,404,404,2805100
22-04-2024,406.940002,417.980011,404.570007,417.350006,417.350006,4165600
23-04-2024,417.709991,425.350006,416.200012,424,424,2662300
24-04-2024,421.5,424.579987,419.609985,423.040009,423.040009,1575900
25-04-2024,420.98999,423.609985,414.850006,420.049988,420.049988,1970100
26-04-2024,420.230011,428.529999,419.640015,427.570007,427.570007,2322700
29-04-2024,427.570007,433.329987,427.200012,430.809998,430.809998,2453000
30-04-2024,428.5,431.390015,426,426.709991,426.709991,1829900
01-05-2024,426.690002,433.429993,425.190002,426.950012,426.950012,2310100
